pid,tid,searchSeq,rank,url
10,4,1,2,https://stackoverflow.com/questions/4022171/how-do-i-print-currency-format-in-javascript
10,3,0,0,https://stackoverflow.com/questions/12462318/find-a-value-in-an-array-of-objects-in-javascript
10,1,0,0,https://stackoverflow.com/questions/3978492/fastest-way-to-duplicate-an-array-in-javascript-slice-vs-for-loop
10,1,1,2,https://stackoverflow.com/questions/44808882/cloning-an-array-in-javascript-typescript
10,5,0,1,https://stackoverflow.com/questions/25888182/moment-js-how-to-subtract-7-days-from-current-date
10,6,0,4,https://stackoverflow.com/questions/44739963/how-do-i-server-static-files-relative-to-subdirectory-index-files-in-express-js
10,6,1,0,https://stackoverflow.com/questions/5924072/express-js-cant-get-my-static-files-why
10,6,2,-1,
10,6,3,2,https://stackoverflow.com/questions/42977068/express-serving-static-files-and-routing
11,2,0,0,https://stackoverflow.com/questions/979256/sorting-an-array-of-objects-by-property-values
11,1,0,0,https://stackoverflow.com/questions/3978492/fastest-way-to-duplicate-an-array-in-javascript-slice-vs-for-loop
11,5,0,1,https://stackoverflow.com/questions/14897571/moment-js-date-between-dates
11,6,0,0,https://stackoverflow.com/questions/28143419/express-static-keeps-routing-my-files-from-the-route
12,2,0,0,https://stackoverflow.com/questions/979256/sorting-an-array-of-objects-by-property-values
12,4,0,0,https://stackoverflow.com/questions/149055/how-to-format-numbers-as-currency-strings
12,3,0,0,https://stackoverflow.com/questions/12462318/find-a-value-in-an-array-of-objects-in-javascript
12,1,0,-1,
12,1,1,0,https://stackoverflow.com/questions/122102/what-is-the-most-efficient-way-to-deep-clone-an-object-in-javascript
12,5,0,0,https://stackoverflow.com/questions/29651815/format-date-and-subtract-days-using-moment-js
12,5,1,-1,
12,5,2,0,https://stackoverflow.com/questions/15993913/format-date-with-moment-js
12,5,3,-1,
12,5,4,0,https://stackoverflow.com/questions/24428656/subtract-time-from-date-moment-js
12,5,5,0,https://stackoverflow.com/questions/29651815/format-date-and-subtract-days-using-moment-js
12,5,6,-1,
12,5,7,0,https://stackoverflow.com/questions/30888197/format-datetime-to-yyyy-mm-dd-hhmmss-in-moment-js
12,5,8,0,https://stackoverflow.com/questions/24428656/subtract-time-from-date-moment-js
12,6,0,1,https://stackoverflow.com/questions/55853857/how-to-serve-static-files-to-different-routes-in-express
13,2,0,0,https://stackoverflow.com/questions/979256/sorting-an-array-of-objects-by-property-values
13,4,0,0,https://stackoverflow.com/questions/149055/how-to-format-numbers-as-currency-strings
13,3,0,0,https://stackoverflow.com/questions/12462318/find-a-value-in-an-array-of-objects-in-javascript
13,1,0,0,https://stackoverflow.com/questions/3978492/fastest-way-to-duplicate-an-array-in-javascript-slice-vs-for-loop
13,5,0,0,https://stackoverflow.com/questions/4944750/how-to-subtract-date-time-in-javascript
13,5,1,8,https://stackoverflow.com/questions/63002502/subtract-date-with-format-dd-mmm-yyyy
13,5,2,-1,
13,5,3,0,https://stackoverflow.com/questions/31931/whats-the-simplest-way-to-decrement-a-date-in-javascript-by-1-day
13,5,4,4,https://stackoverflow.com/questions/25888182/moment-js-how-to-subtract-7-days-from-current-date
13,6,0,1,https://stackoverflow.com/questions/16548586/adding-a-new-route-to-node-express
13,6,1,3,https://stackoverflow.com/questions/20089582/how-to-get-a-url-parameter-in-express
13,6,2,-1,
13,6,3,1,https://stackoverflow.com/questions/16505333/get-the-data-of-uploaded-file-in-javascript
13,6,4,3,https://stackoverflow.com/questions/53965247/node-js-serve-html-files
13,6,5,4,https://stackoverflow.com/questions/8438998/node-js-configuration-and-routes-in-a-different-file
14,2,0,0,https://stackoverflow.com/questions/979256/sorting-an-array-of-objects-by-property-values
14,4,0,3,https://stackoverflow.com/questions/64297528/how-to-format-currency-in-javascript
14,4,1,0,https://stackoverflow.com/questions/149055/how-to-format-numbers-as-currency-strings
14,3,0,-1,
14,1,0,0,https://stackoverflow.com/questions/3978492/fastest-way-to-duplicate-an-array-in-javascript-slice-vs-for-loop
14,5,0,0,https://stackoverflow.com/questions/42031436/momentjs-get-time-until-with-two-variables
14,5,1,-1,
14,5,2,-1,
14,5,3,1,https://stackoverflow.com/questions/48276306/display-time-duration-based-on-start-and-end-date-with-interval-using-moment-js
14,6,0,0,https://stackoverflow.com/questions/65115458/how-to-serve-static-files-in-expressjs-on-some-paths-and-not-others
15,2,0,0,https://stackoverflow.com/questions/979256/sorting-an-array-of-objects-by-property-values
15,4,0,-1,
15,4,1,-1,
15,4,2,0,https://stackoverflow.com/questions/149055/how-to-format-numbers-as-currency-strings
15,3,0,-1,
15,3,1,-1,
15,1,0,-1,
15,5,0,-1,https://stackoverflow.com/a/29652195
15,6,0,0,https://stackoverflow.com/questions/36395563/static-routing-in-node-express
15,6,1,-1,
15,6,2,-1,
16,2,0,0,https://stackoverflow.com/questions/979256/sorting-an-array-of-objects-by-property-values
16,4,0,0,https://stackoverflow.com/questions/149055/how-to-format-numbers-as-currency-strings
16,4,1,0,https://stackoverflow.com/questions/149055/how-to-format-numbers-as-currency-strings
16,3,0,0,https://stackoverflow.com/questions/12462318/find-a-value-in-an-array-of-objects-in-javascript
16,1,0,0,https://stackoverflow.com/questions/3978492/fastest-way-to-duplicate-an-array-in-javascript-slice-vs-for-loop
16,5,0,1,https://stackoverflow.com/questions/4944750/how-to-subtract-date-time-in-javascript
16,5,1,-1,
16,5,2,1,https://stackoverflow.com/questions/29651815/format-date-and-subtract-days-using-moment-js
16,6,0,-1,
16,6,1,0,https://stackoverflow.com/questions/65115458/how-to-serve-static-files-in-expressjs-on-some-paths-and-not-others
16,6,2,-1,
17,2,0,0,https://stackoverflow.com/questions/979256/sorting-an-array-of-objects-by-property-values
17,4,0,2,https://stackoverflow.com/questions/4022171/how-do-i-print-currency-format-in-javascript
17,3,0,0,https://stackoverflow.com/questions/12462318/find-a-value-in-an-array-of-objects-in-javascript
