pid,tid,searchSeq,timeFromSearch,kind,resultUrl
1,1,0,1212,showProj,https://stackoverflow.com/questions/597588/how-do-you-clone-an-array-of-objects-in-javascript
1,1,0,1212,showProj,https://stackoverflow.com/questions/48219487/javascript-how-to-clone-array-without-reference
1,1,0,15004,openPage,https://stackoverflow.com/questions/42523881/how-to-clone-a-javascript-array-of-objects
1,5,0,3335,showProj,https://stackoverflow.com/questions/29651815/format-date-and-subtract-days-using-moment-js
1,5,0,3335,showProj,https://stackoverflow.com/questions/25888182/moment-js-how-to-subtract-7-days-from-current-date
1,5,0,3335,showProj,https://stackoverflow.com/questions/68756983/how-add-and-subtract-days-using-moment-js-for-the-given-timestamp-value
1,5,0,3335,showProj,https://stackoverflow.com/questions/58626988/subtract-days-after-the-current-date-moment-js
1,5,0,3335,showProj,https://stackoverflow.com/questions/54019837/subtract-one-day-from-a-particular-date-using-momentjs
1,5,0,3335,showProj,https://stackoverflow.com/questions/67533168/subtracting-30-days-from-an-isodate-using-momentjs
1,5,0,3335,showProj,https://stackoverflow.com/questions/1296358/how-to-subtract-days-from-a-plain-date
1,5,0,3335,showProj,https://stackoverflow.com/questions/51428671/moment-js-subtract-1-day-from-sunday-not-working-as-expected
1,5,0,3335,showProj,https://stackoverflow.com/questions/35788718/moment-js-add-subtract-days-without-affecting-the-original-date
1,5,0,3335,showProj,https://stackoverflow.com/questions/57901065/subtract-7-days-from-moment-date-getting-invalid-date
1,5,0,5988,openPage,https://stackoverflow.com/questions/29651815/format-date-and-subtract-days-using-moment-js
1,6,0,1790,showProj,https://stackoverflow.com/questions/58081749/node-express-force-all-static-routes-to-point-to-root-path
1,6,0,2090,showProj,https://stackoverflow.com/questions/55853857/how-to-serve-static-files-to-different-routes-in-express
1,6,0,2608,showProj,https://stackoverflow.com/questions/36395563/static-routing-in-node-express
1,6,0,3038,showProj,https://stackoverflow.com/questions/69758526/express-static-routes-are-not-working-when-adding-a-validation-middleware
1,6,0,3652,showProj,https://stackoverflow.com/questions/55285668/express-static-doesnt-route-the-static-files
1,6,0,3841,showProj,https://stackoverflow.com/questions/73305912/how-to-add-a-static-route-after-a-dynamic-one-in-expressjs
1,6,0,4273,showProj,https://stackoverflow.com/questions/42977068/express-serving-static-files-and-routing
1,6,0,4864,showProj,https://stackoverflow.com/questions/60878869/express-routes-to-serve-directory-of-static-content
1,6,0,5479,showProj,https://stackoverflow.com/questions/27734164/serve-out-static-route-with-express-with-redirect-and-middleware
1,6,0,5852,showProj,https://stackoverflow.com/questions/66258861/creating-routing-for-a-static-site-using-express
1,6,0,8181,openPage,https://stackoverflow.com/questions/36395563/static-routing-in-node-express
1,6,0,28661,closePage,https://stackoverflow.com/questions/36395563/static-routing-in-node-express
1,6,0,30013,openPage,https://stackoverflow.com/questions/55853857/how-to-serve-static-files-to-different-routes-in-express
1,6,0,38695,closePage,https://stackoverflow.com/questions/55853857/how-to-serve-static-files-to-different-routes-in-express
1,6,1,7343,showProj,https://stackoverflow.com/questions/26349497/node-express-with-static-html-how-to-route-all-requests-to-index-html
1,6,1,7969,showProj,https://stackoverflow.com/questions/60878869/express-routes-to-serve-directory-of-static-content
1,6,1,8606,showProj,https://stackoverflow.com/questions/27734164/serve-out-static-route-with-express-with-redirect-and-middleware
1,6,1,8974,showProj,https://stackoverflow.com/questions/66258861/creating-routing-for-a-static-site-using-express
1,6,1,9239,showProj,https://stackoverflow.com/questions/58081749/node-express-force-all-static-routes-to-point-to-root-path
1,6,1,9686,showProj,https://stackoverflow.com/questions/28143419/express-static-keeps-routing-my-files-from-the-route
1,6,1,10029,showProj,https://stackoverflow.com/questions/42977068/express-serving-static-files-and-routing
1,6,1,11245,showProj,https://stackoverflow.com/questions/32544846/how-to-set-dynamic-route-for-static-files-in-express
1,6,1,12173,showProj,https://stackoverflow.com/questions/11569181/serve-static-files-on-a-dynamic-route-using-express
1,6,1,13055,openPage,https://stackoverflow.com/questions/26349497/node-express-with-static-html-how-to-route-all-requests-to-index-html
1,6,1,14165,showProj,https://stackoverflow.com/questions/10434001/static-files-with-express-js
2,2,0,1225,showProj,https://stackoverflow.com/questions/979256/sorting-an-array-of-objects-by-property-values
2,2,0,1225,showProj,https://stackoverflow.com/questions/56809727/sorting-an-array-of-objects-on-both-ascending-and-descending-order-on-same-click
2,2,0,1225,showProj,https://stackoverflow.com/questions/54623130/javascript-sort-an-array-of-objects-by-a-numeric-property-in-each-object
2,2,0,1225,showProj,https://stackoverflow.com/questions/31553155/sort-by-object-key-in-descending-order-on-javascript-underscore
2,2,0,1225,showProj,https://stackoverflow.com/questions/56996782/javascript-sorting-objects-not-arrays-in-descending
2,2,0,1225,showProj,https://stackoverflow.com/questions/1129216/sort-array-of-objects-by-string-property-value
2,2,0,1225,showProj,https://stackoverflow.com/questions/49365109/sort-array-of-objects-with-letters-and-numbers-in-descending-order
2,2,0,1225,showProj,https://stackoverflow.com/questions/72084911/how-do-i-sort-array-of-objects-in-descending-order-based-on-alphanumeric-value-i
2,2,0,1225,showProj,https://stackoverflow.com/questions/65687818/js-sort-array-of-objets-by-specific-string-property-not-ascending-or-descending
2,2,0,1225,showProj,https://stackoverflow.com/questions/12900058/how-can-i-sort-a-javascript-array-of-objects-numerically-and-then-alphabetically
2,2,0,13351,openPage,https://stackoverflow.com/questions/979256/sorting-an-array-of-objects-by-property-values
2,2,0,14920,closePage,https://stackoverflow.com/questions/979256/sorting-an-array-of-objects-by-property-values
2,2,0,15743,openPage,https://stackoverflow.com/questions/979256/sorting-an-array-of-objects-by-property-values
2,4,0,1521,showProj,https://stackoverflow.com/questions/64297528/how-to-format-currency-in-javascript
2,4,0,1565,showProj,https://stackoverflow.com/questions/4022171/how-do-i-print-currency-format-in-javascript
2,4,0,2366,showProj,https://stackoverflow.com/questions/60689698/how-to-format-currency-and-time-in-javascript
2,4,0,2441,showProj,https://stackoverflow.com/questions/69668216/currency-format-in-euro
2,4,0,2493,showProj,https://stackoverflow.com/questions/40426965/javascript-function-to-format-as-money
2,4,0,3077,showProj,https://stackoverflow.com/questions/19664926/proper-js-currency-format-with-commas-and-decimals
2,4,0,3189,openPage,https://stackoverflow.com/questions/149055/how-to-format-numbers-as-currency-strings
2,4,0,5454,showProj,https://stackoverflow.com/questions/68549027/currency-formatting-using-intl-numberformat-without-currency-symbol
2,4,0,6472,showProj,https://stackoverflow.com/questions/46235907/format-currency-in-javascript-removing-00
2,4,0,8703,showProj,https://stackoverflow.com/questions/149055/how-to-format-numbers-as-currency-strings
2,4,0,47996,closePage,https://stackoverflow.com/questions/149055/how-to-format-numbers-as-currency-strings
2,4,0,50684,openSig,https://stackoverflow.com/questions/4022171/how-do-i-print-currency-format-in-javascript
2,4,0,53101,openCode,https://stackoverflow.com/questions/4022171/how-do-i-print-currency-format-in-javascript
2,4,0,74475,copyProj,https://stackoverflow.com/questions/4022171/how-do-i-print-currency-format-in-javascript
2,4,0,140190,openSig,https://stackoverflow.com/questions/60689698/how-to-format-currency-and-time-in-javascript
2,4,0,143807,openSig,https://stackoverflow.com/questions/19664926/proper-js-currency-format-with-commas-and-decimals
2,3,0,4017,showProj,https://stackoverflow.com/questions/52460473/find-object-with-specific-value-in-array
2,3,0,4519,showProj,https://stackoverflow.com/questions/6116474/how-to-find-if-an-array-contains-a-specific-string-in-javascript-jquery
2,3,0,5527,openPage,https://stackoverflow.com/questions/12462318/find-a-value-in-an-array-of-objects-in-javascript
2,3,0,5887,showProj,https://stackoverflow.com/questions/52311150/find-all-matching-elements-with-in-an-array-of-objects
2,3,0,7721,showProj,https://stackoverflow.com/questions/13964155/get-javascript-object-from-array-of-objects-by-value-of-property
2,3,0,9304,closePage,https://stackoverflow.com/questions/12462318/find-a-value-in-an-array-of-objects-in-javascript
2,3,0,9369,showProj,https://stackoverflow.com/questions/12462318/find-a-value-in-an-array-of-objects-in-javascript
2,3,0,9598,showProj,https://stackoverflow.com/questions/57607836/find-an-item-in-array-and-get-whats-left
2,3,0,10465,showProj,https://stackoverflow.com/questions/35206125/how-can-i-find-and-update-values-in-an-array-of-objects
2,3,0,11009,openSig,https://stackoverflow.com/questions/12462318/find-a-value-in-an-array-of-objects-in-javascript
2,3,0,12140,showProj,https://stackoverflow.com/questions/143847/best-way-to-find-if-an-item-is-in-a-javascript-array
2,3,0,12333,showProj,https://stackoverflow.com/questions/7364150/find-object-by-id-in-an-array-of-javascript-objects
2,3,0,12551,showProj,https://stackoverflow.com/questions/237104/how-do-i-check-if-an-array-includes-a-value-in-javascript
2,3,0,18516,copyProj,https://stackoverflow.com/questions/12462318/find-a-value-in-an-array-of-objects-in-javascript
2,3,0,114664,openSig,https://stackoverflow.com/questions/12462318/find-a-value-in-an-array-of-objects-in-javascript
2,3,0,116670,openPage,https://stackoverflow.com/questions/6116474/how-to-find-if-an-array-contains-a-specific-string-in-javascript-jquery
