pid,tid,expandSeq,searchSeq,resultSeq,signature
32,1,1,0,0,JSON.parse(string)
32,6,0,0,1,"use(string, function)"
32,6,1,0,1,static(unknown)
32,6,2,0,1,"use(string, unknown)"
33,2,0,0,0,T[].sort(function): this
33,4,0,0,0,Number.toFixed(number): string
33,4,1,0,1,formatMoney(number)
33,6,0,0,0,static(string)
34,2,0,0,1,"function[].sortBy(object[], string): any[]"
34,2,1,0,0,sort(function)
34,2,2,0,0,T[].sort(function): this
34,1,0,0,0,JSON.parse(string)
34,1,1,0,0,JSON.stringify(unknown): string
34,1,2,0,0,T[].slice(): T[]
34,1,3,0,0,JSON.parse(string)
34,6,0,0,1,"get(string, function)"
34,6,1,0,0,static(unknown)
34,6,2,0,1,"get(string, function)"
35,2,0,0,1,"function[].sortBy(object[], string): any[]"
35,2,1,0,4,T[].reverse(): T[]
35,2,2,0,7,T[].sort(function): this
35,2,3,0,0,T[].sort(function): this
35,2,4,0,2,sort(function)
35,4,0,0,0,Number.toFixed(number): string
35,4,1,0,2,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string"
35,4,2,0,4,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string"
35,4,3,0,6,formatMoney(number)
35,6,0,0,1,use(unknown)
35,6,1,0,1,static(unknown)
35,6,2,0,2,"use(string, unknown)"
36,3,0,0,0,T[].filter(function): T[]
37,2,0,0,5,sort(function)
37,2,1,0,0,T[].sort(function): this
37,4,0,0,1,formatMoney(number)
37,4,1,0,0,Number.toFixed(number): string
37,6,0,0,0,"get(string, function)"
37,6,1,0,1,express()
37,6,2,0,1,"post(string, unknown)"
37,6,0,1,1,"post(string, function)"
37,6,1,1,0,"get(string, function)"
37,6,2,1,3,"get(string, function)"
37,6,0,2,1,"get(string, typeof validate, function)"
37,6,0,5,2,static(string)
37,6,1,5,5,"get(string, function)"
37,6,2,5,5,json(object)
37,6,3,5,6,static(string)
37,6,0,6,0,"get(string, function)"
38,5,0,0,4,from(unknown)
38,5,1,0,8,"moment(string, string)"
38,5,2,0,0,subtract(object)
38,5,3,0,1,"subtract(unknown, string)"
38,5,4,0,0,moment(string)
39,2,0,0,0,sort(function)
39,4,0,0,0,Number.toFixed(number): string
39,4,1,0,0,Intl.NumberFormat.format(number | bigint): string
39,4,2,0,0,Intl.NumberFormat.format(number | bigint): string
39,4,3,0,0,"String.replace(object, string): string"
39,6,0,0,0,static(unknown)
39,6,1,0,0,"use(string, unknown)"
39,6,2,0,1,static(string)
39,6,3,0,1,use(unknown)
39,6,4,0,3,static(string)
39,6,5,0,0,static(unknown)
39,6,6,0,0,"use(string, unknown)"
40,4,0,0,1,formatMoney(number)
40,3,0,0,0,"search(string, object[])"
40,3,1,0,0,T[].filter(function): T[]
40,5,0,0,0,moment()
40,5,0,1,1,Number.toString(): string
40,5,1,1,1,moment(string)
40,5,2,1,1,unix()
40,5,3,1,2,"subtract(string, number)"
