pid,tid,searchSeq,rank,text
6,4,0,1,Number.toFixed(number): string
6,4,0,2,"String.replace(object, string): string"
6,4,0,3,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string"
6,4,0,4,toFixed(number)
6,4,0,5,"String.replace(string | RegExp, string): string"
6,4,0,6,"replace(regex, string)"
6,4,0,7,formatMoney(number)
6,4,0,8,format(string)
6,4,0,9,Number.toLocaleString(): string
6,3,0,0,"T[].reduce(function, U): U"
6,3,0,1,T[].find(function): T
6,3,0,2,T[].includes(T): boolean
6,3,0,3,T[].filter(function): T[]
6,3,0,4,T[].indexOf(T): number
6,3,0,5,filter(function)
6,3,0,6,T[].some(function): boolean
6,3,0,7,find(function)
6,3,0,8,T[].findIndex(function): number
6,3,0,9,"grep(unknown, function)"
6,5,0,0,"subtract(number, string)"
6,5,0,1,format(string)
6,5,0,2,moment()
6,5,0,3,"add(number, string)"
6,5,0,4,moment(number)
6,5,0,5,toDate()
6,5,0,6,moment(Date)
6,5,0,7,"subtract(string, number)"
6,5,0,8,duration(object)
6,5,0,9,subtract(unknown)
7,2,0,0,T[].sort(function): this
7,2,0,1,sort(function)
7,2,0,2,ObjectConstructor.keys(object): string[]
7,2,0,3,"sortBy(unknown, string)"
7,2,0,4,T[].sort(): this
7,2,0,5,T[].reverse(): T[]
7,2,0,6,"object[].sortBy(string, string)"
7,2,0,7,T[].forEach(function): void
7,2,0,8,sort(typeof compare)
7,2,0,9,reverse()
7,1,0,0,JSON.parse(string)
7,1,0,1,JSON.stringify(unknown): string
7,1,0,2,map(function)
7,1,0,3,T[].map(function): U[]
7,1,0,4,T[].slice(): T[]
7,1,0,5,JSON.stringify(function): string
7,1,0,6,slice()
7,1,0,7,slice(number)
7,1,0,8,T[].push(T[]): number
7,1,0,9,T[].forEach(function): void
7,6,0,0,use(unknown)
7,6,0,1,static(string)
7,6,0,2,static(unknown)
7,6,0,3,"join(unknown, string)"
7,6,0,4,"use(string, unknown)"
7,6,0,5,express()
7,6,0,6,"use(string, function)"
7,6,0,7,"get(string, function)"
7,6,0,8,listen(number)
7,6,0,9,"set(string, unknown)"
8,4,0,0,Intl.NumberFormat.format(number | bigint): string
8,4,0,1,Number.toFixed(number): string
8,4,0,2,"String.replace(object, string): string"
8,4,0,3,"Number.toLocaleString(Intl.LocalesArgument, Intl.NumberFormatOptions): string"
8,4,0,4,toFixed(number)
8,4,0,5,"String.replace(string | RegExp, string): string"
8,4,0,6,"replace(regex, string)"
8,4,0,7,formatMoney(number)
8,4,0,8,format(string)
8,4,0,9,Number.toLocaleString(): string
8,3,0,0,"T[].reduce(function, U): U"
8,3,0,1,T[].find(function): T
8,3,0,2,T[].includes(T): boolean
8,3,0,3,T[].filter(function): T[]
8,3,0,4,T[].indexOf(T): number
8,3,0,5,filter(function)
8,3,0,6,T[].some(function): boolean
