pid,tid,onTask,inApp,inPage,toLoadFirst,toLoadLast,toOpen
27362,recent,487602,82962,0,3358,11319,5068
29016,find,66007,109659,0,3609,19818,2463
29016,recent,235100,28225,0,3267,10811,5452
30065,sort,163599,84284,69239,8478,20724,6702
30065,clone,100199,22735,17460,1228,1229,4107
31472,sort,245207,251902,216988,6086,17540,28872
31472,currency,246319,273372,228030,1209,1210,3434
31472,clone,296472,480331,266922,4213,18481,151886
31472,recent,460180,387701,378508,3599,2916,874
32156,sort,239598,285505,0,5459,17131,44797
32156,currency,139353,397883,0,5446,10252,70564
32156,clone,1146522,518438,508363,1213,1214,6656
32156,recent,324214,156225,128721,2760,4051,655
32919,sort,79344,32233,29985,6017,18096,NaN
32919,clone,70513,15641,14392,4275,16004,NaN
32919,recent,424843,253419,13183,4721,1447,1905
32919,serve,203800,63232,60691,2883,9027,1559
36615,currency,242666,203413,195819,1218,1221,10869
36615,clone,184607,231609,0,4274,15771,27762
36615,recent,182028,208435,2238,5218,13578,13651
36615,serve,426589,139671,71667,3031,1235,2576
39681,sort,224354,155490,0,7223,26024,8664
39681,clone,79526,18233,0,4955,19015,3848
39681,recent,490343,230383,214881,4270,3268,475
42904,find,130370,108875,0,3822,18489,30620
42904,clone,108470,77284,0,4605,16170,13209
42904,serve,418288,338025,312914,3680,1327,8731
46094,find,408890,10528,2071,1213,1213,5753
46094,clone,323007,168491,1786,4494,16177,11352
48128,currency,366601,326960,83186,5613,10355,17096
48128,find,120959,43161,0,4152,18510,28565
48128,recent,271693,139430,0,7668,13350,4316
49394,currency,206215,59471,52606,1213,1213,5689
49394,find,60810,17544,0,4004,20231,3526
49394,clone,72048,224715,0,4515,15571,6157
55264,sort,235098,173334,169368,1213,1213,1912
55264,find,136047,43918,10654,3821,18373,1361
55264,recent,264560,176488,175915,6639,11712,NaN
55264,serve,426331,470223,314911,3877,2372,6739
56883,sort,518723,467373,347390,2151,12224,32386
56883,clone,163206,77829,58759,2514,8719,19070
56883,recent,1052764,914016,685084,3600,3934,39946
57414,sort,288956,283173,4651,6520,17450,10780
57414,clone,163611,88719,61529,4862,9680,30001
57414,serve,399935,262167,191850,3479,6519,4434
59191,sort,272247,309535,205652,1226,1226,18324
59191,currency,325342,369672,237538,1242,1243,22778
59191,find,264846,246362,213199,3910,18708,31171
59191,recent,429370,516180,308194,4716,22170,18518
59191,serve,432631,213807,205424,3134,1247,2907
61514,clone,238721,330253,276528,1212,1212,1968
62905,sort,368785,657673,0,6087,17936,49519
62905,find,157286,144235,110091,1206,2949,9486
62905,clone,155642,218264,0,4418,11650,21217
62905,serve,426601,460539,0,4297,14353,8028
65727,currency,211449,57751,52478,5622,10249,NaN
65727,find,85763,19048,15074,4320,18686,NaN
65727,recent,244031,54258,47099,1982,9659,5277
69302,clone,446526,36458,24977,1213,1213,4508
69302,currency,358978,438548,47016,5444,10292,6803
69302,serve,405200,219742,65409,2284,7636,9737
69321,sort,127963,124498,0,5634,17710,17366
69321,currency,148084,152025,0,5580,10294,19808
76613,find,95085,166465,0,3726,10899,12142
81897,clone,29246,25709,0,4024,15492,3254
81897,serve,144098,108124,7073,3930,8780,2457
87190,sort,275172,274591,0,5709,17376,3532
87190,currency,365064,153723,14798,5458,9953,NaN
91073,currency,144284,52771,50358,1268,1268,1280
91073,sort,343337,120020,0,1899,9987,3995
91073,find,105678,145915,88042,1247,1238,5317
91073,serve,332391,277653,36641,4809,8318,5606
91073,clone,50497,25043,0,2148,7983,6955
92307,sort,222067,250092,0,6823,19233,12063
92307,currency,362816,297157,0,6394,11545,8870
92307,find,85311,11125,8578,1210,1210,1363
92307,clone,43244,16929,12923,1212,1212,2816
92652,recent,327241,75561,70579,3269,5557,4982
93100,sort,450135,83840,4429,1821,10907,53430
93100,currency,80720,93543,0,5347,9887,7657
96947,recent,303379,526215,0,3739,8738,14738
99741,sort,184308,372466,31682,5496,17523,24246
99741,currency,222767,333310,0,5472,12715,37467
99741,find,125379,325025,177501,1205,1205,12106
99741,clone,123087,143577,109443,1205,1204,17373
99741,recent,417754,369940,271816,4979,1212,51713
99741,serve,298901,380095,123869,2829,9416,5242
99907,currency,132730,57699,0,5560,10550,11545
99907,clone,205973,17631,11753,1207,1208,4687
99907,serve,424305,299774,274173,2950,4096,3169
99907,recent,428219,82832,0,6026,8101,2003
12830,sort,367917,319300,45464,5444,16360,23383
14987,recent,484515,223433,0,3721,14393,7056
17380,recent,541645,225565,74318,2485,12028,5328
29016,clone,211228,133180,53226,3995,24578,8272
32156,serve,571036,545926,16674,3279,6662,3679
61514,recent,429998,391228,0,3210,11353,42081
93100,serve,812669,659727,450417,2817,6603,6967
69302,sort,308065,239276,150586,5578,21628,18601
