pid,tid,search,result,loadSeq,time
17380,find,0,7,6,8512
17380,find,0,8,7,9418
17380,find,0,9,8,9605
17380,find,0,6,9,11689
17380,clone,0,4,0,1491
17380,clone,0,2,1,2769
17380,clone,0,3,2,3136
17380,clone,0,6,3,3600
17380,clone,0,7,4,3747
17380,clone,0,1,5,4013
17380,clone,0,9,6,4284
17380,clone,0,5,7,6000
17380,clone,0,0,8,7016
17380,clone,0,8,9,9403
17380,serve,0,0,0,4555
17380,serve,0,1,1,4555
17380,serve,0,2,2,4555
17380,serve,0,3,3,4555
17380,serve,0,4,4,4555
17380,serve,0,5,5,4555
17380,serve,0,6,6,4555
17380,serve,0,7,7,4555
17380,serve,0,8,8,4555
17380,serve,0,9,9,4555
17380,serve,1,0,0,7017
17380,serve,1,1,1,7017
17380,serve,1,2,2,7017
17380,serve,1,3,3,7017
17380,serve,1,4,4,7017
17380,serve,1,5,5,7018
17380,serve,1,6,6,7018
17380,serve,1,7,7,7018
17380,serve,1,8,8,7018
17380,serve,1,9,9,7018
17380,serve,2,0,0,3170
17380,serve,2,1,1,3170
17380,serve,2,2,2,3170
17380,serve,2,3,3,3170
17380,serve,2,4,4,3170
17380,serve,2,5,5,3170
17380,serve,2,6,6,3170
17380,serve,2,7,7,3170
17380,serve,2,8,8,3170
17380,serve,2,9,9,3170
17380,serve,3,0,0,1228
17380,serve,3,1,1,1228
17380,serve,3,2,2,1228
17380,serve,3,3,3,1228
17380,serve,3,4,4,1228
17380,serve,3,5,5,1228
17380,serve,3,6,6,1228
17380,serve,3,7,7,1228
17380,serve,3,8,8,1228
17380,serve,3,9,9,1228
17380,serve,4,0,0,2810
17380,serve,4,1,1,2810
17380,serve,4,2,2,2810
17380,serve,4,3,3,2810
17380,serve,4,4,4,2811
17380,serve,4,5,5,2811
17380,serve,4,6,6,2811
17380,serve,4,7,7,2811
17380,serve,4,8,8,2811
17380,serve,4,9,9,2811
20014,sort,0,1,0,3769
20014,sort,0,4,1,3854
20014,sort,0,3,2,3905
20014,sort,0,2,3,3946
20014,sort,0,7,4,3986
20014,sort,0,6,5,4238
20014,sort,0,9,6,5426
20014,sort,0,8,7,5579
20014,sort,0,0,8,9402
20014,sort,0,5,9,10527
20014,find,0,0,0,1211
20014,find,0,1,1,1211
20014,find,0,2,2,1211
20014,find,0,3,3,1211
20014,find,0,4,4,1211
20014,find,0,5,5,1211
20014,find,0,6,6,1211
20014,find,0,7,7,1211
20014,find,0,8,8,1211
20014,find,0,9,9,1211
20014,clone,0,0,0,1226
20014,clone,0,1,1,1226
20014,clone,0,2,2,1226
20014,clone,0,3,3,1226
20014,clone,0,4,4,1226
20014,clone,0,5,5,1226
20014,clone,0,6,6,1226
20014,clone,0,7,7,1226
20014,clone,0,8,8,1226
20014,clone,0,9,9,1226
20014,recent,0,0,0,2944
20014,recent,0,1,1,2944
20014,recent,0,2,2,2944
20014,recent,0,3,3,2944
20014,recent,0,4,4,2944
20014,recent,0,5,5,2944
20014,recent,0,6,6,2944
20014,recent,0,7,7,2944
20014,recent,0,8,8,2944
20014,recent,0,9,9,2944
20014,recent,1,0,0,1228
20014,recent,1,1,1,1228
20014,recent,1,2,2,1228
20014,recent,1,3,3,1228
20014,recent,1,4,4,1228
20014,recent,1,5,5,1228
20014,recent,1,6,6,1228
20014,recent,1,7,7,1228
20014,recent,1,8,8,1228
20014,recent,1,9,9,1228
20014,recent,2,0,0,3928
20014,recent,2,1,1,3928
20014,recent,2,2,2,3928
20014,recent,2,3,3,3928
20014,recent,2,4,4,3928
20014,recent,2,5,5,3928
20014,recent,2,6,6,3928
20014,recent,2,7,7,3928
20014,recent,2,8,8,3928
20014,recent,2,9,9,3928
20014,serve,0,3,0,3887
20014,serve,0,1,1,3934
20014,serve,0,6,2,4215
20014,serve,0,4,3,4904
20014,serve,0,2,4,5265
20014,serve,0,8,5,5312
20014,serve,0,0,6,5433
20014,serve,0,7,7,5476
20014,serve,0,9,8,5544
20014,serve,0,5,9,5914
20964,sort,0,0,0,1251
20964,sort,0,1,1,1251
20964,sort,0,2,2,1251
20964,sort,0,3,3,1251
20964,sort,0,4,4,1251
20964,sort,0,5,5,1251
20964,sort,0,6,6,1251
20964,sort,0,7,7,1251
20964,sort,0,8,8,1251
20964,sort,0,9,9,1252
20014,currency,0,0,0,6202
20014,currency,0,1,1,6279
20014,currency,0,2,2,6557
20014,currency,0,3,3,8094
20014,currency,0,4,4,8172
20014,currency,0,5,5,8816
20014,currency,0,6,6,8858
20014,currency,0,7,7,9799
20014,currency,0,8,8,10850
20964,clone,0,0,0,1290
20964,clone,0,1,1,1290
20964,clone,0,2,2,1290
20964,clone,0,3,3,1290
20964,clone,0,4,4,1290
